Constituency,Name,Gender,Party,Contact,Email
Sunam -[101]- Sangrur,Sh. Aman Arora,,Aam Aadmi Party,,
Dina Nagar -[5]- Gurdaspur,Not Found,,Indian National Congress,,
Jalandhar North -[36]- Jalandhar,Not Found,,Indian National Congress,,
Gurdaspur -[4]- Gurdaspur,Not Found,,Indian National Congress,,
Talwandi Sabo -[94]- Bathinda,Not Found,,Aam Aadmi Party,,
Budhlada -[98]- Mansa,Not Found,,Aam Aadmi Party,,
Shahkot -[32]- Jalandhar,Not Found,,Indian National Congress,,
Dirba -[100]- Sangrur,Not Found,,Aam Aadmi Party,,
Garhsahankar -[45]- Hoshiarpur,Not Found,,Aam Aadmi Party,,
Kotkapura -[88]- Faridkot,Not Found,,Aam Aadmi Party,,
Mehal Kalan -[104]- Barnala,Not Found,,Aam Aadmi Party,,
Nihal Singh Wala -[71]- Moga,Not Found,,Aam Aadmi Party,,
Jalandhar Cantt. -[37]- Jalandhar,Not Found,,Indian National Congress,,
Kapurthala -[27]- Kapurthala,Not Found,,Indian National Congress,,
Jagraon -[70]- Ludhiana,Not Found,,Aam Aadmi Party,,
Raja Sansi -[12]- Amritsar,Not Found,,Indian National Congress,,
Bholath -[26]- Kapurthala,Not Found,,Indian National Congress,,
Banga -[46]- Shaheed Bhagat Singh Nagar,Not Found,,Shiromani Akali Dal,,
Fatehgarh Churian -[9]- Gurdaspur,Not Found,,Indian National Congress,,
Dakha -[68]- Ludhiana,Not Found,,Shiromani Akali Dal,,
Phagwara -[29]- Kapurthala,Not Found,,Indian National Congress,,
Amritsar Central -[17]- Amritsar,Not Found,,Aam Aadmi Party,,
Patiala -[115]- Patiala,Not Found,,Aam Aadmi Party,,
Moga -[73]- Moga,Not Found,,Aam Aadmi Party,,
Sunam -[101]- Sangrur,Sh. Aman Arora,,Aam Aadmi Party,,
Dina Nagar -[5]- Gurdaspur,Not Found,,Indian National Congress,,
Jalandhar North -[36]- Jalandhar,Not Found,,Indian National Congress,,
,Not Found,,Not Found,,
,Not Found,,Not Found,,
Dina Nagar -[5]- Gurdaspur,Not Found,,Indian National Congress,,
Gurdaspur -[4]- Gurdaspur,Not Found,,Indian National Congress,,
Talwandi Sabo -[94]- Bathinda,Not Found,,Aam Aadmi Party,,
Budhlada -[98]- Mansa,Not Found,,Aam Aadmi Party,,
Shahkot -[32]- Jalandhar,Not Found,,Indian National Congress,,
Dirba -[100]- Sangrur,Not Found,,Aam Aadmi Party,,
Garhsahankar -[45]- Hoshiarpur,Not Found,,Aam Aadmi Party,,
Kotkapura -[88]- Faridkot,Not Found,,Aam Aadmi Party,,
Mehal Kalan -[104]- Barnala,Not Found,,Aam Aadmi Party,,
Nihal Singh Wala -[71]- Moga,Not Found,,Aam Aadmi Party,,
Jalandhar Cantt. -[37]- Jalandhar,Not Found,,Indian National Congress,,
Kapurthala -[27]- Kapurthala,Not Found,,Indian National Congress,,
Jagraon -[70]- Ludhiana,Not Found,,Aam Aadmi Party,,
Raja Sansi -[12]- Amritsar,Not Found,,Indian National Congress,,
Bholath -[26]- Kapurthala,Not Found,,Indian National Congress,,
Banga -[46]- Shaheed Bhagat Singh Nagar,Not Found,,Shiromani Akali Dal,,
Fatehgarh Churian -[9]- Gurdaspur,Not Found,,Indian National Congress,,
Dakha -[68]- Ludhiana,Not Found,,Shiromani Akali Dal,,
Phagwara -[29]- Kapurthala,Not Found,,Indian National Congress,,
Amritsar Central -[17]- Amritsar,Not Found,,Aam Aadmi Party,,
Patiala -[115]- Patiala,Not Found,,Aam Aadmi Party,,
Moga -[73]- Moga,Not Found,,Aam Aadmi Party,,
Sunam -[101]- Sangrur,Sh. Aman Arora,,Aam Aadmi Party,,
Dina Nagar -[5]- Gurdaspur,Not Found,,Indian National Congress,,
Jalandhar North -[36]- Jalandhar,Not Found,,Indian National Congress,,
Gurdaspur -[4]- Gurdaspur,Not Found,,Indian National Congress,,
Talwandi Sabo -[94]- Bathinda,Not Found,,Aam Aadmi Party,,
Budhlada -[98]- Mansa,Not Found,,Aam Aadmi Party,,
Shahkot -[32]- Jalandhar,Not Found,,Indian National Congress,,
Dirba -[100]- Sangrur,Not Found,,Aam Aadmi Party,,
Garhsahankar -[45]- Hoshiarpur,Not Found,,Aam Aadmi Party,,
,Not Found,,Not Found,,
Mehal Kalan -[104]- Barnala,Not Found,,Aam Aadmi Party,,
Nihal Singh Wala -[71]- Moga,Not Found,,Aam Aadmi Party,,
Jalandhar Cantt. -[37]- Jalandhar,Not Found,,Indian National Congress,,
Kapurthala -[27]- Kapurthala,Not Found,,Indian National Congress,,
Jagraon -[70]- Ludhiana,Not Found,,Aam Aadmi Party,,
Raja Sansi -[12]- Amritsar,Not Found,,Indian National Congress,,
,Not Found,,Not Found,,
Banga -[46]- Shaheed Bhagat Singh Nagar,Not Found,,Shiromani Akali Dal,,
Fatehgarh Churian -[9]- Gurdaspur,Not Found,,Indian National Congress,,
Dakha -[68]- Ludhiana,Not Found,,Shiromani Akali Dal,,
Phagwara -[29]- Kapurthala,Not Found,,Indian National Congress,,
Amritsar Central -[17]- Amritsar,Not Found,,Aam Aadmi Party,,
Patiala -[115]- Patiala,Not Found,,Aam Aadmi Party,,
Moga -[73]- Moga,Not Found,,Aam Aadmi Party,,
Balluana -[82]- Bathinda,Not Found,,Aam Aadmi Party,,
Batala -[7]- Gurdaspur,Not Found,,Aam Aadmi Party,,
Sri Hargobindpur -[8]- Gurdaspur,Not Found,,Aam Aadmi Party,,
Bathinda Rural -[93]- Bathinda,Not Found,,Aam Aadmi Party,,
Jaitu -[89]- Faridkot,Not Found,,Aam Aadmi Party,,
Bagha Purana -[72]- Moga,Not Found,,Aam Aadmi Party,,
Kharar -[52]- Mohali,Not Found,,Aam Aadmi Party,,
Ludhiana Central -[63]- Ludhiana,Not Found,,Aam Aadmi Party,,
Pathankot -[3]- Pathankot,Not Found,,Bharatiya Janta Party,,
Patiala Rural -[110]- Patiala,Not Found,,Aam Aadmi Party,,
Malout -[85]- Muktsar,Not Found,,Aam Aadmi Party,,
Kartarpur -[33]- Jalandhar,Not Found,,Aam Aadmi Party,,
Rampura phul -[90]- Bathinda,Not Found,,Aam Aadmi Party,,
Lehra -[99]- Sangrur,Not Found,,Aam Aadmi Party,,
Dhuri -[107]- Sangrur,Not Found,,Aam Aadmi Party,,
Hoshiarpur -[43]- Hoshiarpur,Not Found,,Aam Aadmi Party,,
Chamkaur Sahib -[51]- Rupnagar,Not Found,,Aam Aadmi Party,,
Samana -[116]- Patiala,Not Found,,Aam Aadmi Party,,
Baba Bakala -[25]- Amritsar,Not Found,,Aam Aadmi Party,,
Ludhiana East -[60]- Ludhiana,Not Found,,Aam Aadmi Party,,
Dharamkot -[74]- Moga,Not Found,,Aam Aadmi Party,,
Rupnagar -[50]- Rupnagar,Not Found,,Aam Aadmi Party,,
Guru har sahai -[78]- Firozpur,Not Found,,Aam Aadmi Party,,
Majitha -[13]- Amritsar,Not Found,,Shiromani Akali Dal,,
Nabha -[109]- Patiala,Not Found,,Aam Aadmi Party,,
Faridkot -[87]- Faridkot,Not Found,,Aam Aadmi Party,,
Amloh -[56]- Fatehgarh Sahib,Not Found,,Aam Aadmi Party,,
Ghanaur -[113]- Patiala,Not Found,,Aam Aadmi Party,,
Lambi -[83]- Muktsar,Not Found,,Aam Aadmi Party,,
Ludhiana West -[64]- Ludhiana,Not Found,,Aam Aadmi Party,,
Sardulgarh -[97]- Mansa,Not Found,,Aam Aadmi Party,,
Raikot -[69]- Ludhiana,Not Found,,Aam Aadmi Party,,
Jandiala -[14]- Jalandhar,Not Found,,Aam Aadmi Party,,
Sahnewal -[59]- Ludhiana,Not Found,,Aam Aadmi Party,,
Anandpur Sahib -[49]- Rupnagar,Not Found,,Aam Aadmi Party,,
Sanour -[114]- Patiala,Not Found,,Aam Aadmi Party,,
Amritsar South -[19]- Amritsar,Not Found,,Aam Aadmi Party,,
Nakodar -[31]- Jalandhar,Not Found,,Aam Aadmi Party,,
Jalalabad -[79]- Fazilka,Not Found,,Aam Aadmi Party,,
Muktsar -[86]- Muktsar,Not Found,,Aam Aadmi Party,,
Bathinda Urban -[92]- Bathinda,Not Found,,Aam Aadmi Party,,
Bucho Mandi -[91]- Bathinda,Not Found,,Aam Aadmi Party,,
Samrala -[58]- Ludhiana,Not Found,,Aam Aadmi Party,,
Mukerian -[39]- Hoshiarpur,Not Found,,Bharatiya Janta Party,,
Amritsar West -[16]- Amritsar,Not Found,,Aam Aadmi Party,,
Urmar -[41]- Hoshiarpur,Not Found,,Aam Aadmi Party,,
Amargarh -[106]- Sangrur,Not Found,,Aam Aadmi Party,,
Attari -[20]- Amritsar,Not Found,,Aam Aadmi Party,,
Amritsar East -[18]- Amritsar,Not Found,,Aam Aadmi Party,,
Gill -[66]- Ludhiana,Not Found,,Aam Aadmi Party,,
Dasuya -[40]- Hoshiarpur,Not Found,,Aam Aadmi Party,,
Tarn Taran -[21]- Tarn Taran,Not Found,,Aam Aadmi Party,,
Ajnala -[11]- Amritsar,Not Found,,Aam Aadmi Party,,
Dera Bassi -[112]- Mohali,Not Found,,Aam Aadmi Party,,
S.A.S. Nagar -[53]- Mohali,Not Found,,Aam Aadmi Party,,
Shutrana -[117]- Patiala,Not Found,,Aam Aadmi Party,,
Atam Nagar -[62]- Ludhiana,Not Found,,Aam Aadmi Party,,
Amritsar North -[15]- Amritsar,Not Found,,Aam Aadmi Party,,
Bhadaur -[102]- Barnala,Not Found,,Aam Aadmi Party,,
